gene	group	dataset_id	Isocortex	Hippocampus	Cerebellum	Striatum	Hypothalamus	Midbrain	Thalamus	Olfact_bulb
Chrm1	muscarinic	79762114	16.3979	15.8671	2.114	13.105	4.8367	2.7498	3.4697	8.2934
Chrm2	muscarinic	69237083	4.6027	2.43	2.5553	2.3734	4.0339	6.2321	4.7849	8.31
Chrm3	muscarinic	77464862	16.652	10.0383	1.5929	3.4621	5.384	6.1832	4.4581	6.2171
Chrm4	muscarinic	79913278	5.2578	3.1022	0.6227	12.5398	0.8736	0.6389	0.9573	3.3717
Olig2	opc_lineage	2449	17.1207	14.4769	11.8742	15.8855	13.0332	13.8255	15.0773	10.4134
Pdgfra	opc_lineage	79354743	2.1814	2.5772	1.2081	1.924	2.3441	2.19	2.1489	2.3753
Cspg4	opc_lineage	69608160	0.7267	0.5225	0.3331	0.4285	0.3921	0.4054	0.2936	0.5448
Myrf	opc_lineage	70295805	0.5758	0.5838	0.7536	1.2039	0.544	0.9318	0.8431	0.9688
Sox10	opc_lineage	75694718	3.5206	2.9261	2.4193	4.4319	3.4686	4.1812	3.6876	4.0533
Mbp	myelin	79632288	7.6361	6.6663	10.5527	10.5277	10.56	11.9351	11.1277	8.448
Plp1	myelin	75496529	15.9	14.3495	14.0161	18.5654	18.8069	21.7138	19.6028	19.6088
Cnp	myelin	1176	4.9886	5.0267	6.9661	7.9991	7.8443	10.4992	8.9791	4.5486
Nefl	neuroaxonal	70919083	10.5657	9.6808	3.7976	5.4486	5.3867	8.2294	8.2051	3.3731
